;ano;mes;sigla_uf;tipo_consumo;numero_consumidores;consumo;id_estado;sigla;estado;regiao;pais
795;2004;6;TO;Outros;23292.0;22823;27;TO;Tocantins;Norte;Brasil
796;2004;6;PE;Outros;151354.0;135294;17;PE;Pernambuco;Nordeste;Brasil
797;2004;6;SE;Outros;17642.0;32849;26;SE;Sergipe;Nordeste;Brasil
798;2004;6;PI;Outros;33570.0;33616;18;PI;Piauí;Nordeste;Brasil
799;2004;6;SP;Outros;315997.0;935258;25;SP;São Paulo;Sudeste;Brasil
800;2004;6;DF;Outros;12225.0;78253;7;DF;Distrito Federal;Centro-Oeste;Brasil
801;2004;6;PA;Outros;28026.0;79108;14;PA;Pará;Norte;Brasil
802;2004;6;MA;Outros;56262.0;52748;10;MA;Maranhão;Nordeste;Brasil
803;2004;6;PB;Outros;75363.0;47676;15;PB;Paraíba;Nordeste;Brasil
804;2004;6;PR;Outros;369610.0;254009;16;PR;Paraná;Sul;Brasil
805;2004;6;RJ;Outros;64791.0;396285;19;RJ;Rio de Janeiro;Sudeste;Brasil
806;2004;6;MG;Outros;487234.0;394722;13;MG;Minas Gerais;Sudeste;Brasil
807;2004;6;SC;Outros;228926.0;193767;24;SC;Santa Catarina;Sul;Brasil
808;2004;6;MT;Outros;64746.0;71969;11;MT;Mato Grosso;Centro-Oeste;Brasil
809;2004;6;AM;Outros;10485.0;50444;4;AM;Amazonas;Norte;Brasil
810;2004;7;RR;Outros;5095.0;7927;23;RR;Roraima;Norte;Brasil
811;2004;7;RJ;Outros;65336.0;407037;19;RJ;Rio de Janeiro;Sudeste;Brasil
812;2004;7;BA;Outros;216365.0;216813;5;BA;Bahia;Nordeste;Brasil
813;2004;7;PI;Outros;33693.0;32652;18;PI;Piauí;Nordeste;Brasil
814;2004;7;TO;Outros;23592.0;23742;27;TO;Tocantins;Norte;Brasil
815;2004;7;RO;Outros;61585.0;25304;22;RO;Rondônia;Norte;Brasil
816;2004;7;MA;Outros;57018.0;52654;10;MA;Maranhão;Nordeste;Brasil
817;2004;7;DF;Outros;12238.0;77231;7;DF;Distrito Federal;Centro-Oeste;Brasil
818;2004;7;SC;Outros;229144.0;194001;24;SC;Santa Catarina;Sul;Brasil
819;2004;7;PE;Outros;151864.0;130737;17;PE;Pernambuco;Nordeste;Brasil
820;2004;7;SP;Outros;315788.0;933151;25;SP;São Paulo;Sudeste;Brasil
821;2004;7;AL;Outros;16991.0;39974;2;AL;Alagoas;Nordeste;Brasil
822;2004;7;AP;Outros;2351.0;10534;3;AP;Amapá;Norte;Brasil
823;2004;7;SE;Outros;17729.0;31376;26;SE;Sergipe;Nordeste;Brasil
824;2004;7;RS;Outros;316239.0;278731;21;RS;Rio Grande do Sul;Sul;Brasil
825;2004;7;MS;Outros;57689.0;61740;12;MS;Mato Grosso do Sul;Centro-Oeste;Brasil
826;2004;7;PB;Outros;75904.0;45347;15;PB;Paraíba;Nordeste;Brasil
827;2004;7;MT;Outros;64950.0;79701;11;MT;Mato Grosso;Centro-Oeste;Brasil
828;2004;7;RN;Outros;41443.0;57226;20;RN;Rio Grande do Norte;Nordeste;Brasil
829;2004;7;CE;Outros;209049.0;103537;6;CE;Ceará;Nordeste;Brasil
830;2004;7;MG;Outros;489845.0;407060;13;MG;Minas Gerais;Sudeste;Brasil
831;2004;7;PA;Outros;28292.0;78027;14;PA;Pará;Norte;Brasil
832;2004;7;ES;Outros;123671.0;75447;8;ES;Espírito Santo;Sudeste;Brasil
833;2004;7;GO;Outros;143525.0;176441;9;GO;Goiás;Centro-Oeste;Brasil
834;2004;7;AM;Outros;10571.0;50497;4;AM;Amazonas;Norte;Brasil
835;2004;7;AC;Outros;10272.0;9813;1;AC;Acre;Norte;Brasil
836;2004;7;PR;Outros;370057.0;252785;16;PR;Paraná;Sul;Brasil
837;2004;8;MG;Outros;492181.0;413210;13;MG;Minas Gerais;Sudeste;Brasil
838;2004;8;PB;Outros;76015.0;46073;15;PB;Paraíba;Nordeste;Brasil
839;2004;8;BA;Outros;217059.0;210820;5;BA;Bahia;Nordeste;Brasil
840;2004;8;MS;Outros;57878.0;63030;12;MS;Mato Grosso do Sul;Centro-Oeste;Brasil
841;2004;8;RR;Outros;5147.0;9176;23;RR;Roraima;Norte;Brasil
842;2004;8;RS;Outros;317214.0;265760;21;RS;Rio Grande do Sul;Sul;Brasil
843;2004;8;MT;Outros;65306.0;81159;11;MT;Mato Grosso;Centro-Oeste;Brasil
844;2004;8;AC;Outros;10353.0;10188;1;AC;Acre;Norte;Brasil
845;2004;8;SE;Outros;17827.0;31320;26;SE;Sergipe;Nordeste;Brasil
846;2004;8;AM;Outros;11143.0;50963;4;AM;Amazonas;Norte;Brasil
847;2004;8;PR;Outros;370681.0;256757;16;PR;Paraná;Sul;Brasil
848;2004;8;GO;Outros;144078.0;184491;9;GO;Goiás;Centro-Oeste;Brasil
849;2004;8;MA;Outros;57833.0;54200;10;MA;Maranhão;Nordeste;Brasil
850;2004;8;AP;Outros;2348.0;11866;3;AP;Amapá;Norte;Brasil
851;2004;8;AL;Outros;16994.0;40190;2;AL;Alagoas;Nordeste;Brasil
852;2004;8;SP;Outros;319152.0;937345;25;SP;São Paulo;Sudeste;Brasil
853;2004;8;RJ;Outros;65746.0;408795;19;RJ;Rio de Janeiro;Sudeste;Brasil
854;2004;8;TO;Outros;23853.0;25266;27;TO;Tocantins;Norte;Brasil
855;2004;8;PE;Outros;152093.0;134450;17;PE;Pernambuco;Nordeste;Brasil
856;2004;8;SC;Outros;229365.0;191497;24;SC;Santa Catarina;Sul;Brasil
857;2004;8;PA;Outros;30440.0;79107;14;PA;Pará;Norte;Brasil
858;2004;8;PI;Outros;33941.0;34259;18;PI;Piauí;Nordeste;Brasil
859;2004;8;RO;Outros;61466.0;26432;22;RO;Rondônia;Norte;Brasil
860;2004;8;RN;Outros;41727.0;62556;20;RN;Rio Grande do Norte;Nordeste;Brasil
861;2004;8;CE;Outros;210576.0;112461;6;CE;Ceará;Nordeste;Brasil
862;2004;8;ES;Outros;124097.0;74052;8;ES;Espírito Santo;Sudeste;Brasil
863;2004;8;DF;Outros;12347.0;77340;7;DF;Distrito Federal;Centro-Oeste;Brasil
864;2004;9;RN;Outros;42081.0;65764;20;RN;Rio Grande do Norte;Nordeste;Brasil
865;2004;9;RJ;Outros;66336.0;425324;19;RJ;Rio de Janeiro;Sudeste;Brasil
866;2004;9;MT;Outros;65582.0;85205;11;MT;Mato Grosso;Centro-Oeste;Brasil
867;2004;9;RO;Outros;62274.0;26958;22;RO;Rondônia;Norte;Brasil
868;2004;9;BA;Outros;218374.0;218335;5;BA;Bahia;Nordeste;Brasil
869;2004;9;SP;Outros;319994.0;931372;25;SP;São Paulo;Sudeste;Brasil
870;2004;9;AM;Outros;11229.0;53701;4;AM;Amazonas;Norte;Brasil
871;2004;9;TO;Outros;23720.0;25153;27;TO;Tocantins;Norte;Brasil
872;2004;9;AC;Outros;10356.0;10278;1;AC;Acre;Norte;Brasil
873;2004;9;AL;Outros;17036.0;42662;2;AL;Alagoas;Nordeste;Brasil
874;2004;9;RR;Outros;5117.0;8220;23;RR;Roraima;Norte;Brasil
875;2004;9;PI;Outros;34082.0;37786;18;PI;Piauí;Nordeste;Brasil
876;2004;9;GO;Outros;144388.0;195246;9;GO;Goiás;Centro-Oeste;Brasil
877;2004;9;MG;Outros;494302.0;446181;13;MG;Minas Gerais;Sudeste;Brasil
878;2004;9;MS;Outros;58377.0;70049;12;MS;Mato Grosso do Sul;Centro-Oeste;Brasil
879;2004;9;PA;Outros;28813.0;78248;14;PA;Pará;Norte;Brasil
880;2004;9;CE;Outros;212509.0;126805;6;CE;Ceará;Nordeste;Brasil
881;2004;9;MA;Outros;58239.0;56076;10;MA;Maranhão;Nordeste;Brasil
882;2004;9;RS;Outros;317725.0;279103;21;RS;Rio Grande do Sul;Sul;Brasil
883;2004;9;DF;Outros;12360.0;84909;7;DF;Distrito Federal;Centro-Oeste;Brasil
884;2004;9;SE;Outros;17618.0;32512;26;SE;Sergipe;Nordeste;Brasil
885;2004;9;ES;Outros;124702.0;87645;8;ES;Espírito Santo;Sudeste;Brasil
886;2004;9;PE;Outros;152008.0;135307;17;PE;Pernambuco;Nordeste;Brasil
887;2004;9;PB;Outros;78427.0;51342;15;PB;Paraíba;Nordeste;Brasil
888;2004;9;SC;Outros;229910.0;195674;24;SC;Santa Catarina;Sul;Brasil
889;2004;9;PR;Outros;371614.0;263927;16;PR;Paraná;Sul;Brasil
890;2004;9;AP;Outros;2357.0;12134;3;AP;Amapá;Norte;Brasil
891;2004;10;PR;Outros;371994.0;263592;16;PR;Paraná;Sul;Brasil
892;2004;10;RR;Outros;5076.0;8876;23;RR;Roraima;Norte;Brasil
893;2004;10;SC;Outros;230384.0;195434;24;SC;Santa Catarina;Sul;Brasil
894;2004;10;PE;Outros;155151.0;146434;17;PE;Pernambuco;Nordeste;Brasil
895;2004;10;MG;Outros;496026.0;457290;13;MG;Minas Gerais;Sudeste;Brasil
896;2004;10;SP;Outros;321640.0;1075936;25;SP;São Paulo;Sudeste;Brasil
